244.064,54.623,2.183,1.438
244.021,54.796,5.835,4.889
243.973,54.225,1.291,1.025
243.965,54.26,1.451,1.154
243.956,54.633,1.47,1.259
243.919,54.221,2.499,0.95
243.882,54.169,2.161,1.015
243.869,54.222,1.26,0.947
243.878,54.875,24.392,1.617
243.859,54.234,1.453,1.412
243.865,54.454,12.128,5.623
243.854,54.243,1.544,1.274
243.852,54.398,5.493,4.472
243.852,54.335,0.994,0.739
243.864,54.943,10.944,9.83
243.856,54.705,1.502,0.963
243.841,54.304,3.501,2.533
243.841,54.53,2.005,1.578
243.84,54.589,3.689,3.638
243.843,54.974,3.553,2.51
243.83,54.812,2.415,1.925
243.81,54.994,3.525,2.46
243.788,54.31,0.966,0.749
243.779,54.309,1.635,0.948
243.759,54.282,1.066,0.807
243.742,54.074,1.598,0.88
243.746,54.172,1.256,1.329
243.757,54.861,1.716,0.978
243.752,54.935,1.223,1.388
243.738,54.592,1.487,1.397
243.72,54.473,2.321,1.85
243.721,54.665,1.225,0.686
243.665,53.904,1.505,1.122
243.661,54.38,15.33,15.677
243.654,54.276,1.172,0.908
243.648,54.327,3.483,3.675
243.645,54.209,0.766,0.681
243.642,54.241,4.89,1.749
243.643,54.641,0.995,0.687
243.636,54.682,2.063,2.139
243.627,54.428,0.993,0.806
243.627,54.426,0.816,0.793
243.599,54.065,0.939,0.879
243.621,54.983,1.168,0.913
243.594,54.03,1.956,1.566
243.606,54.612,1.116,1.03
243.588,54.295,11.649,12.324
243.601,54.722,3.953,1.076
243.586,54.567,2.453,2.016
243.555,54.07,23.994,16.032
243.566,54.725,24.145,18.203
243.573,55.069,2.561,2.073
243.545,54.028,1.748,0.831
243.543,54.065,21.297,6.603
243.558,54.733,9.027,6.845
243.555,54.713,4.511,2.349
243.539,54.165,0.968,0.994
243.53,54.322,0.754,0.701
243.525,54.338,0.622,0.715
243.533,54.928,1.495,1.015
243.502,53.954,33.615,11.496
243.488,53.974,2.045,1.591
243.488,54.18,0.616,0.649
243.486,54.662,0.88,0.92
243.47,54.116,4.657,3.498
243.493,55.04,2.873,0.924
243.45,54.235,29.822,10.513
243.455,55.03,1.464,0.963
243.426,54.199,0.657,0.762
243.435,54.689,2.277,2.539
243.401,54.216,4.742,5.53
243.397,54.185,3.551,1.015
243.4,54.503,2.399,1.843
243.393,54.218,0.745,0.771
243.385,54.065,5.198,1.186
243.38,54.275,3.222,1.968
243.38,54.455,207.857,170.727
243.373,54.249,1.77,1.021
243.367,54.069,6.186,0.84
243.364,53.929,1.424,0.735
243.373,54.507,2.078,2.468
243.373,54.628,2.548,2.097
243.385,55.143,2.077,1.959
243.335,54.276,9.109,4.691
243.328,54.177,2.475,1.914
243.341,55.105,1.134,1.328
243.316,53.917,1.3,1.252
243.316,54.016,0.68,0.803
243.33,54.861,1.414,1.28
243.313,54.229,0.566,0.663
243.311,54.297,10.68,7.733
243.31,54.34,1.04,0.979
243.321,55.16,2.988,2.438
243.311,54.738,0.631,0.572
243.295,54.061,1.041,0.859
243.271,54.005,1.784,1.047
243.274,54.583,1.339,0.612
243.255,54.168,1.318,0.924
243.263,54.781,0.633,0.546
243.243,54.476,0.981,1.088
243.233,53.998,1.113,0.834
243.23,54.124,0.885,0.962
243.213,53.993,10.694,4.65
243.223,54.687,0.704,0.602
243.224,54.796,0.652,0.749
243.226,54.924,1.424,1.105
243.206,54.144,2.065,1.106
243.213,54.48,1.245,1.572
243.219,55.117,1.203,0.943
243.197,53.914,1.191,1.106
243.199,53.991,0.598,0.605
243.2,54.588,1.962,2.147
243.206,55.045,12.198,7.962
243.203,55.043,9.465,6.796
243.194,54.714,0.532,0.501
243.187,54.473,1.183,1.254
243.177,54.161,0.564,0.75
243.174,54.656,0.818,0.781
243.163,54.148,0.391,0.443
243.155,53.969,5.257,0.733
243.154,54.312,4.745,5.064
243.155,54.393,0.828,0.728
243.164,54.956,1.472,1.616
243.16,55.01,1.613,1.381
243.146,54.488,0.888,0.989
243.138,54.15,0.742,0.634
243.145,54.555,0.757,0.44
243.13,54.301,34.29,25.615
243.143,55.07,1.288,0.84
243.139,54.942,1.164,0.543
243.125,54.09,0.406,0.507
243.119,53.755,1.301,1.096
243.116,53.963,2.364,1.926
243.127,54.853,4.748,1.852
243.128,54.87,1.385,1.769
243.115,54.25,1.657,0.631
243.112,54.043,1.175,1.393
243.12,55.11,30.219,30.571
243.111,54.641,0.447,0.583
243.095,54.019,11.013,4.582
243.105,54.39,0.684,0.9
243.098,54.061,1.423,1.231
243.113,55.024,0.712,0.8
243.106,54.863,0.423,0.77
243.106,54.918,2.323,2.783
243.099,54.561,0.757,0.708
243.093,54.151,0.726,0.488
243.1,54.651,0.763,0.938
243.096,54.644,5.994,7.809
243.089,54.096,3.627,3.355
243.093,54.873,6.288,7.409
243.094,54.753,0.934,0.546
243.09,54.781,2.624,1.689
