242.97054,874693.944,54.2074,195146.64,28.48,0.95,17.02,0.64,0,0,0,0,0,0
242.25287,872110.332,54.66656,196799.616,33.97,0.74,24.88,0.34,0,0,0,0,0,0
242.95892,874652.112,54.21492,195173.712,18.65,0.29,11.69,0.09,0,0,0,0,0,0
242.54565,873164.34,54.45386,196033.896,20.15,0.88,24.51,0.81,0,0,0,0,0,0
242.85112,874264.032,54.31896,195548.256,77.89,0.06,64.4,0.3,45.17,0.05,54.89,0.48,-99,-9
243.12009,875232.324,54.11864,194827.104,11.94,0.72,12.59,0.65,0,0,0,0,0,0
242.48973,872963.028,54.52989,196307.604,57.27,0.88,34.74,0.26,0,0,0,0,0,0
243.22322,875603.592,54.06113,194620.068,322.61,0.98,197,0.96,136.16,0.26,58.56,0.48,0,0
243.2516,875705.76,54.0629,194626.44,326.9,0.03,220.92,0.03,137.5,0,64.34,0.53,0,0
242.50659,873023.724,54.48252,196137.072,56.57,0.57,40.24,0.05,0,0,0,0,0,0
242.50066,873002.376,54.50479,196217.244,19.84,0.79,18.91,0.58,0,0,0,0,0,0
243.20052,875521.872,54.10856,194790.816,37.45,0.89,45.99,0.88,0,0,0,0,0,0
242.72902,873824.472,54.34443,195639.948,22.47,0.32,17.63,0.68,0,0,0,0,0,0
243.11308,875207.088,54.16198,194983.128,12.76,0.25,13.57,0.3,0,0,0,0,0,0
242.82913,874184.868,54.29052,195445.872,10.28,0.63,8.76,0.4,0,0,0,0,0,0
242.56198,873223.128,54.4896,196162.56,75.61,0.82,74.85,0.46,46.74,0.13,175.38,0.24,402.73,0.5
242.90529,874459.044,54.24692,195288.912,16.11,0.63,19.18,0.42,0,0,0,0,0,0
242.68983,873683.388,54.38885,195799.86,27.79,0.51,19.94,0.41,0,0,0,0,0,0
242.8847,874384.92,54.25697,195325.092,24.87,0.71,15.88,0.34,0,0,0,0,0,0
243.09837,875154.132,54.15038,194941.368,14.03,0.17,9.92,0.51,0,0,0,0,0,0
243.01723,874862.028,54.1805,195049.8,41.87,0.79,44.81,0.45,-99,-9,0,0,0,0
243.11052,875197.872,54.1383,194897.88,24.62,0.21,16.73,0.03,0,0,0,0,0,0
242.35019,872460.684,54.57847,196482.492,13.03,0.52,15.72,0.62,0,0,0,0,0,0
242.8813,874372.68,54.27507,195390.252,53.85,0.16,39.92,0.59,0,0,0,0,0,0
243.13322,875279.592,54.12367,194845.212,19.45,0.93,12.53,0.59,0,0,0,0,0,0
242.68857,873678.852,54.38956,195802.416,20.22,0.93,24.53,0.05,0,0,0,0,0,0
242.78624,874030.464,54.33639,195611.004,65.34,0.98,45.88,0.97,0,0,0,0,0,0
242.83507,874206.252,54.305,195498,20.07,0.92,12.57,0.56,0,0,0,0,0,0
242.80283,874090.188,54.30295,195490.62,22.49,0.87,17.12,0.55,0,0,0,0,0,0
242.6702,873612.72,54.39957,195838.452,46.17,0.71,32.99,0.87,0,0,0,0,0,0
242.81465,874132.74,54.29716,195469.776,15.89,0.04,12.76,0,0,0,0,0,0,0
242.98712,874753.632,54.18616,195070.176,11.15,0.79,10.02,0.54,0,0,0,0,0,0
242.35928,872493.408,54.5917,196530.12,70.23,0.04,55.16,0.34,0,0,49.51,0.09,617.93,0.47
242.65106,873543.816,54.38381,195781.716,161.61,0.97,108.5,0.98,81.88,0.15,39.05,0.41,0,0
243.00148,874805.328,54.21953,195190.308,20.2,0.9,14.22,0.54,0,0,0,0,0,0
242.92233,874520.388,54.22149,195197.364,46.14,0.94,32.13,0.84,0,0,0,0,0,0
242.51199,873043.164,54.48588,196149.168,72.09,0.95,45.15,0.84,52.78,0.19,0,0,-99,-9
243.17615,875434.14,54.07291,194662.476,38.74,0.72,26.58,0.24,0,0,0,0,0,0
242.47079,872894.844,54.51051,196237.836,28.27,0.44,17.21,0.55,0,0,0,0,0,0
242.99048,874765.728,54.20462,195136.632,15.91,0.77,19.13,0.29,0,0,0,0,0,0
242.94643,874607.148,54.20686,195144.696,59.42,0.98,37.03,0.31,0,0,0,0,0,0
243.1689,875408.04,54.10051,194761.836,17.46,0.25,20.36,0.29,0,0,0,0,0,0
243.18639,875471.004,54.08606,194709.816,53.31,0.13,42.43,0.08,37.69,0.06,78.56,0.49,-99,-9
242.67091,873615.276,54.38668,195792.048,32.68,0.08,29.88,0.02,0,0,0,0,-99,-9
242.89122,874408.392,54.26147,195341.292,39.65,0.92,30,0.66,0,0,0,0,0,0
242.20807,871949.052,54.66157,196781.652,31.02,0.75,23.22,0.26,0,0,0,0,0,0
242.79262,874053.432,54.32177,195558.372,36.03,0.95,25.95,0.83,0,0,0,0,-99,-9
242.70117,873724.212,54.37857,195762.852,20.95,0.34,14.93,0.25,0,0,0,0,0,0
242.6322,873475.92,54.41615,195898.14,21,0.23,26.08,0.15,0,0,0,0,0,0
242.38705,872593.38,54.53288,196318.368,52.78,0.04,41.28,0.02,-99,-9,0,0,0,0
