243.973,54.225,69.7,74.1,81.9,91.1,95.8,127.8,135.4,129.8,110.6,88.5,87.2,103.6,0.04
243.919,54.221,525.5,525,533.1,550,549.2,448.7,501.8,523.1,465.8,386.5,523.5,353.9,0.98
243.852,54.398,23.4,24,24.4,26.3,26.8,43.4,43.3,36.6,29.2,22.3,22.7,35.6,0.91
243.788,54.31,177.8,214.8,285.4,354.6,392.7,254.4,315.8,380.3,383.8,338.7,404.8,268.5,0.03
243.759,54.282,22.2,24.8,29.3,30.9,30.2,50.5,54.3,53.8,47.4,39.6,25.3,49.8,0.03
243.746,54.172,63.3,64.6,66.2,68.8,67.7,103.8,106.9,95.2,75,55.8,61.8,82,0.98
243.72,54.473,59.2,63.5,70,77,79.8,156.8,168.2,160.1,133.5,104.6,77.7,105.8,0.16
243.661,54.38,30.4,31.1,31.9,33.1,32.9,67.2,67.3,57.6,45.2,35.3,29.3,53.2,0.97
243.648,54.327,12.7,12.9,13.3,13.6,12.8,24.4,23.9,20.1,15.2,10.6,11.5,22,0.93
243.606,54.612,225.6,269.8,336.2,385.6,398,371.4,447.5,527.2,500.9,418.2,413.8,323.4,0.07
243.586,54.567,27.4,28.5,30.2,30.6,29.3,50.3,51.1,45,33.9,24.4,26.8,44.4,0.91
243.53,54.322,424.2,485.5,587.1,718.1,821.9,438.4,541.7,640.6,657.2,624.4,980.8,487,0.03
243.525,54.338,379.4,455.2,573.4,693.4,769,338.1,432.1,538.1,551.7,512.3,927.2,337,0.03
243.486,54.662,36.2,37.5,39.2,41.8,41.6,80.2,82.1,72.7,58.2,43.4,37.8,63.3,0.83
243.45,54.235,4.9,4.8,5.1,6.4,7.6,9.4,9.2,9.1,8.3,6.8,2.3,9,0.79
243.397,54.185,7.4,8.7,10.7,12.3,11.7,19.6,22,22.2,19.2,15,10.4,21.9,0.01
243.38,54.455,39.9,42.4,45.7,48.8,47.8,69.2,72.2,65.9,52.6,39.1,44.2,56.8,0.1
243.373,54.249,3.7,3.7,3.4,3.6,3.4,10.3,9.6,7.3,5.6,3.9,2.6,10.3,0.84
243.373,54.628,188.9,214.4,253.1,306.5,345.3,244.9,292.9,320.5,313.7,287.1,349.5,241.2,0.03
243.335,54.276,391.3,437.3,508,597.7,667.7,548.4,663.1,751.8,745.2,686.3,776.2,479.6,0.03
243.328,54.177,5.7,6.1,6.4,6,4.1,10,10.4,9.2,6.4,3.3,5,11,0.34
243.33,54.861,378.5,420.4,474.4,521.5,541.3,477.8,565.5,630.5,591.3,507.9,543.9,408.2,0.16
243.311,54.297,79.6,88,98.7,108.1,110,200.3,224.4,222.8,187.8,147.6,104.2,157.1,0.15
243.295,54.061,15.5,16.2,16.8,17.5,16.2,29.8,29.8,25.4,19.6,13.5,15.7,25.8,0.59
243.255,54.168,371,419.8,487.1,543.1,556.1,429.3,528.6,598,568.5,490.9,548.6,384,0.17
243.243,54.476,33.7,35.3,38.1,39.5,38.7,60.5,62,56.7,44.1,32.1,35.7,49.8,0.74
243.223,54.687,93.7,105.8,122.8,135.5,137.5,171.1,194.3,200.2,172.4,134.6,129.9,145.7,0.03
243.224,54.796,18.6,18.6,18.8,19.9,19.4,41.2,39.9,34.6,28.1,21.5,17.4,35.4,0.97
243.177,54.161,12.1,13.7,17.4,22.9,25.1,21.8,23.7,24.9,24.5,20.4,21.3,26.3,0.04
243.174,54.656,86.1,89,91.5,92.8,90.8,134.6,140.8,127,98.7,73.8,84.2,107.5,0.98
