243.4,54.503,-999,23.9753284,-999,0.9329714
243.373,54.507,24.6272488,-999,0.5118023,-999
243.373,54.628,24.964983,-999,0.374980539,-999
243.33,54.861,19.5977268,19.1321259,52.59101,80.75127
243.311,54.297,-999,25.1098366,-999,0.3281446
243.31,54.34,-999,22.7764454,-999,2.81463027
243.311,54.738,-999,24.1450748,-999,0.797939539
243.274,54.583,19.3104229,19.28825,68.52249,69.93577
243.263,54.781,22.3957024,21.4386044,3.99688053,9.650679
243.243,54.476,23.75563,23.2419739,1.14221919,1.83320022
243.223,54.687,23.866066,22.7474289,1.03175318,2.89086866
243.224,54.796,-999,24.5925465,-999,0.5284219
243.226,54.924,21.54235,20.1844521,8.77126,30.635046
243.213,54.48,23.1354637,-999,2.022166,-999
243.187,54.473,-999,24.5233269,-999,0.563208342
243.174,54.656,-999,24.023035,-999,0.892865241
243.145,54.555,-999,24.26432,-999,0.7149426
243.13,54.301,-999,24.8263016,-999,0.426067948
243.139,54.942,19.7772713,19.10191,44.5752144,83.03015
243.127,54.853,-999,23.115675,-999,2.059346
243.128,54.87,24.79097,24.0692215,0.4401636,0.8556788
243.105,54.39,-999,24.9569683,-999,0.3777569
243.106,54.863,-999,23.347374,-999,1.66360331
243.099,54.561,-999,22.8437328,-999,2.645494
243.1,54.651,-999,22.8716984,-999,2.57822013
243.096,54.644,-999,23.27538,-999,1.77765739
243.093,54.873,-999,22.624958,-999,3.23605776
243.08,54.161,-999,22.473156,-999,3.721667
243.073,54.295,-999,21.9199448,-999,6.19471741
243.076,54.88,23.8149929,22.5269661,1.08144665,3.541714
243.075,54.845,-999,25.0109615,-999,0.359430581
243.059,54.143,20.216795,19.5742226,29.7361126,53.74158
243.056,54.594,24.3651314,23.770134,0.6515529,1.12705767
243.04,54.84,23.69142,-999,1.211809,-999
243.03,54.328,-999,21.2376957,-999,11.6123867
243.019,54.919,22.6329689,21.6039867,3.21228552,8.287151
243.013,54.759,-999,23.1531925,-999,1.98940146
243.001,54.704,-999,23.4648952,-999,1.49293685
