243.965,54.26,91.99,91.4
243.919,54.221,62.76,43.26
243.852,54.335,34.8,32.29
243.779,54.309,86.19,109.23
243.721,54.665,40.83,34.41
243.654,54.276,87.81,69.42
243.643,54.641,53.94,41.31
243.599,54.065,60.67,44.19
243.621,54.983,42.92,62.42
243.606,54.612,35.03,19.12
243.573,55.069,38.05,50.95
243.53,54.322,59.28,71.88
243.525,54.338,33.52,49.12
243.533,54.928,18.91,16.39
243.38,54.275,99.3,94.95
243.364,53.929,87.7,69.38
243.316,53.917,82.48,64.81
243.33,54.861,118.32,120.52
243.274,54.583,37.82,64.58
243.255,54.168,55.68,35.51
243.23,54.124,20.42,42.08
243.226,54.924,103.12,99.52
243.197,53.914,23.43,28.02
243.155,53.969,182.12,186.3
243.16,55.01,18.44,12.76
243.145,54.555,30.74,26.43
243.139,54.942,101.62,94.51
243.098,54.061,87.93,74.4
243.1,54.651,42.34,32.05
243.077,54.121,23.9,25.69
243.059,54.143,80.39,66.72
243.045,53.925,22.16,8.18
243.019,54.581,28.88,24.78
243.013,54.759,31.78,33.45
243.001,54.704,20.07,2.18
242.979,54.522,16.94,7.4
242.96,54.885,25.98,38.31
242.916,54.74,30.28,26.86
242.847,54.866,74.94,69.75
242.831,54.216,43.38,47.35
242.822,54.039,58.58,66.2
242.823,54.275,67.74,59.41
242.79,53.969,51.74,57.2
242.782,54.148,18.33,8.97
242.766,54.723,56.72,60.17
242.728,54.831,26.68,26.75
242.72,54.628,19.49,20.75
242.716,54.231,33.99,32.27
242.713,54.095,22.5,10.45
242.694,54.594,25.75,6.43
242.689,55.296,37.24,29.72
242.672,54.176,57.19,59.63
242.625,55.026,87.81,84.31
242.619,54.595,24.82,19.84
242.607,54.327,29.46,27.32
242.605,53.78,75.52,88.02
242.587,54.65,22.39,30.19
242.58,54.365,34.68,15.99
242.565,54.104,48.37,39.82
242.556,55.113,22.62,39.03
242.526,54.152,24.48,-0.41
242.524,54.174,106.6,105.37
242.521,55.163,37.12,23.77
242.498,54.613,19.95,20.45
242.495,54.346,33.18,29.94
242.456,54.463,16.82,9.84
242.448,54.325,20.88,16.96
242.442,54.358,38.4,22.61
242.441,53.828,31.67,34.19
242.406,54.216,95.35,77.85
242.394,53.873,206.48,196.5
242.389,54.029,29.12,26.07
242.381,54.308,115.07,94.5
242.374,54.398,42.22,28.24
242.367,54.476,23.78,28.88
242.289,54.72,20.07,11.88
242.283,55.378,94.31,82.15
242.269,54.29,64.96,66.79
242.259,54.043,35.5,37.33
242.255,54.302,28.42,63.69
242.239,54.175,24.24,14.74
242.233,55.02,30.74,28.16
242.224,54.793,58.81,62.64
242.208,54.739,43.15,32.13
242.203,54.864,39.44,34.59
242.2,54.288,27.84,14.93
242.158,53.961,36.77,20.38
242.148,53.839,66.47,59.43
242.059,54.477,72.27,69.51
242.051,54.924,36.89,21.47
242.036,54.944,37.24,45.12
242.015,54.884,91.99,91.89
242.007,54.664,38.4,18.68
242.006,54.612,41.41,45.67
241.988,55.046,43.62,44.33
241.985,53.736,16.59,9.37
241.962,55.208,74.24,72.35
241.942,54.684,32.83,36.29
241.94,54.782,35.03,13.07
241.921,55.032,74.94,74.75
241.935,53.722,24.36,17.71
241.908,54.767,150.8,129.11
241.903,53.959,245.92,271.67
241.87,54.228,44.54,23.47
241.85,54.725,24.48,21.34
241.853,54.203,41.64,31.81
241.828,54.735,21.34,27.72
241.789,54.823,21.92,20.06
241.741,54.057,79.92,62.55
241.733,54.25,80.39,51.9
241.595,55.198,29.93,24.82
241.473,54.374,62.29,49.67
241.469,54.114,631.04,606.22
241.416,54.919,39.79,38.67
241.214,54.838,63.34,49.99
241.168,54.958,25.52,17.12
241.141,54.742,138.04,127.14
241.034,54.425,60.67,53.68
241.988,54.391,22.62,26.8
