243.965,54.26,340.6,372.6,428.1,458,465.3,330,387.5,425.2,394.6,330.8,462.6,283.7,0.32,345.5,373.1,417,450.4,454.2,340.3,402.5,437.8,400.6,331.1,443.8,281.6,0.43
243.919,54.221,380.1,434.2,536.9,622.9,673.7,399.5,472.4,557,563,514.9,712.7,377,0.03,296.3,338.3,408.9,477.8,513.7,312.7,367.7,421.5,414.2,370.1,515.7,297,0.03
243.859,54.234,31.9,32.7,33.6,34,34.3,70,70.3,59.4,46.5,35.4,31.5,54.8,0.92,29.3,32.7,35.6,39.7,40.8,52.9,57.1,51.9,43.2,33.6,37.3,48.3,0.89
243.852,54.335,223.7,237.1,257.1,271.1,278.9,265.1,302.3,305.3,268.5,218.9,272.3,213,0.92,267.4,281,299.2,316.9,322.3,407.8,464.5,480.1,418.2,340.2,314.7,302.9,0.76
243.779,54.309,312.7,321.6,334.1,341.5,349.7,356,403.5,406.7,356.6,296.6,356.2,249.4,0.83,260.7,265,275,285.8,291.9,366.3,395.1,393.4,334.7,271,290.1,240.3,0.81
243.661,54.38,39.6,40.7,41.9,42.8,42.9,87.8,89.6,76.9,61.5,48,37.8,71.7,0.97,30.4,31.1,31.9,33.1,32.9,67.2,67.3,57.6,45.2,35.3,29.3,53.2,0.97
243.606,54.612,229.5,271,341.6,385.3,402.5,312.7,391.8,458,440,374.2,423.1,295.1,0.05,225.6,269.8,336.2,385.6,398,371.4,447.5,527.2,500.9,418.2,413.8,323.4,0.07
243.45,54.235,16.4,16.6,17.1,16.5,15.2,32.7,32.2,26.6,19.4,13.3,15,28.4,0.95,20,19.9,19.6,19.8,19.8,37.6,36.2,29.6,22.1,16.5,17.2,31.9,0.97
243.4,54.503,121.9,131.6,149.1,163.1,172.6,172.7,196.3,197.6,173.7,142,171.4,129.5,0.14,77.9,83.8,94.2,105.5,109.7,130.1,142.6,141.3,122.6,98.3,104.3,101.8,0.07
243.393,54.218,36.8,38.2,42.3,48,46.3,66.2,68,62.6,55.6,47.9,41.3,55.3,0.25,35.1,37.4,41.3,47.2,45.9,85,89.6,84.3,73.9,65.4,40.6,73.4,0.06
243.385,54.065,3.5,3.7,3.8,3.8,3.1,7.4,7.4,6.1,4.5,2.7,3.8,7.9,0.01,1.9,2,1.6,0.4,-1.9,3.8,3.8,2.4,0.4,-1.6,1.4,4.1,0
243.38,54.275,1391.3,1637,2102.6,2569.1,2941.9,820.6,1062.6,1376.9,1541.4,1592.7,4207.2,1065.1,0.03,977.6,1148.5,1442.3,1778.1,2020.2,603.7,776.5,967.8,1068.3,1078.2,2698.4,701.3,0.03
243.38,54.455,32.8,34.9,38.6,41.4,42.1,76.2,79.5,72.7,59.7,45.9,39.5,59.3,0.07,39.9,42.4,45.7,48.8,47.8,69.2,72.2,65.9,52.6,39.1,44.2,56.8,0.1
243.373,54.507,219.7,235.5,267.5,294.7,314.6,322.3,364.3,386.4,356.1,303.2,332.4,235.8,0.25,188.3,201.3,223.7,249.9,264.5,228.7,260.1,270.1,242.5,201.8,275,163.5,0.37
243.328,54.177,9.2,9.8,10.7,10.9,11.8,29,29.5,25.7,19.7,15.6,10.1,25.8,0.65,5.7,6.1,6.4,6,4.1,10,10.4,9.2,6.4,3.3,5,11,0.34
243.313,54.229,19.3,27.5,47.8,66.1,72.6,47.9,65.1,91.6,97,80.3,74.5,81,0.03,35.8,48.6,66.1,82.1,91,72.3,96.1,111.3,104.2,87.4,95,82.9,0.03
243.311,54.297,49.5,56.2,68.2,75,77.3,85.1,96.1,97.5,83.3,65,71.5,79.5,0.08,79.6,88,98.7,108.1,110,200.3,224.4,222.8,187.8,147.6,104.2,157.1,0.15
243.31,54.34,178.7,211.9,262.9,290.8,300.2,270.4,334.9,379.9,350.6,288.3,302.3,254.3,0.13,201,233,273.3,303.1,309.1,245.3,304.5,339.7,309.8,253.7,317.8,202.2,0.21
243.255,54.168,481.1,541.5,646.6,710.7,739.5,408.1,501.4,587.1,575.9,513.7,738.8,417.7,0.12,371,419.8,487.1,543.1,556.1,429.3,528.6,598,568.5,490.9,548.6,384,0.17
243.243,54.476,50.4,53.7,59.2,63.8,64.5,88.3,93.4,86.5,72,55.3,60,73.8,0.26,33.7,35.3,38.1,39.5,38.7,60.5,62,56.7,44.1,32.1,35.7,49.8,0.74
243.223,54.687,30.4,32.8,35.7,36.6,35.9,79.9,84.1,74.8,59.1,43.9,31.3,72.8,0.44,24.5,26.5,29.2,30.1,29.7,54.1,56.8,52,40,29.5,25,50,0.09
243.226,54.924,1459.7,1711.1,2226,2739,3181.8,982.7,1286,1658.6,1869.3,1966.3,4890.5,1272.6,0.03,1060,1245.3,1571.6,1950.7,2237.7,747.4,961.1,1204.6,1331,1350.1,3364,775.2,0.03
243.187,54.473,142.4,157.5,186,210.7,229.8,230.4,266.1,278.6,256.5,219.4,268.7,159.4,0.03,106.6,116.9,134.6,154.1,167.4,201.8,224.9,232.7,208,173.6,196.7,132.1,0.03
243.154,54.312,10.7,11.1,11.2,10.8,11.8,19.4,19.6,16.3,12.2,10.1,9.4,19.1,0.88,13.2,13.2,13,13,12.3,29.7,28.4,23.3,17.4,12.3,11.2,25.5,0.96
243.155,54.393,191,205.8,229.9,249.3,259.9,286.2,330.7,345,309,254.5,266,206.5,0.27,163.6,174.8,191.3,208.5,214.4,208.4,234.2,236.9,206.5,166.4,208.9,162,0.39
