243.878,54.875,243.96,0.03,200.74,0.09,133.85,0.32,91.61,0.01,0,0
243.864,54.943,52.42,0.96,57.07,0.68,58.46,0.12,0,0,0,0
243.843,54.974,7.94,0.67,8.5,0.48,0,0,0,0,-99,-9
243.81,54.994,83.17,0.05,62.3,0.03,46.95,0.07,0,0,356.12,0.04
243.746,54.172,58.72,0.98,62.9,0.7,0,0,0,0,-99,-9
243.665,53.904,52.48,0.86,38.7,0.18,0,0,0,0,0,0
243.661,54.38,39.7,0.35,53.15,0.32,48.81,0.01,66.71,0.61,580.3,0.44
243.645,54.209,167.1,0.04,127.73,0.11,111.26,0.05,125.48,0.32,404.04,0.48
243.588,54.295,65.57,0.98,120.35,0.97,197.41,0.4,325.9,0.97,1442.38,0.76
243.555,54.07,216.79,0.03,138.57,0.04,91.29,0.22,72.82,0.57,0,0
243.573,55.069,672.22,0.03,521.82,0.03,583.2,0.03,1628.7,0.03,5255.8,0.78
243.545,54.028,64.26,0.01,50.35,0,0,0,114.79,0,-99,-9
243.543,54.065,40.34,0.98,26.91,0.88,0,0,0,0,0,0
243.539,54.165,196.94,0.68,189.89,0.45,216.98,0.04,325.69,0.82,2601.03,0.97
243.53,54.322,644.35,0.03,479.17,0.03,515.55,0.01,2256.51,0.03,3455.76,0.27
243.525,54.338,589.47,0.03,461.02,0.03,341.21,0.01,1420.93,0.03,2170.41,0.56
243.502,53.954,392.69,0.03,312.9,0.03,198.92,0,146.28,0.04,0,0
243.426,54.199,209.64,0.03,199.4,0.03,184.91,0.01,434.23,0.16,1513.61,0.91
243.401,54.216,62.61,0.03,73.83,0.02,45.72,0.05,0,0,0,0
243.4,54.503,137.44,0.06,83.95,0.54,65.32,0.64,43.44,0.17,0,0
243.393,54.218,57.26,0.02,62.16,0.02,49.23,0.04,0,0,0,0
243.373,54.249,23.53,0.76,27.76,0.59,0,0,0,0,0,0
243.364,53.929,1005.77,0.03,727.15,0.03,847.83,0.02,3275.54,0.03,5001.76,0.03
243.373,54.507,241.55,0.11,203.92,0.36,126.67,0.03,92.84,0.01,0,0
243.385,55.143,26.15,0.81,38.11,0.72,0,0,79,0.59,0,0
243.335,54.276,551.19,0.03,427.4,0.03,258.68,0.02,164.8,0.13,0,0
243.316,53.917,949.26,0.43,750.34,0.25,663.79,0.04,3696.77,0.65,4312.41,0.78
243.316,54.016,94.05,0.71,94.06,0.46,85.81,0.67,281.57,0.72,3071.84,0.62
243.31,54.34,228.39,0.05,253.96,0.55,352.99,0.45,574.35,0.9,3636.39,0.83
243.311,54.738,185.86,0.77,171.04,0.14,130.73,0.12,255.88,0.65,360.67,0.37
243.295,54.061,12.27,0.49,13.79,0.64,0,0,0,0,-99,-9
243.271,54.005,150.88,0.03,123.94,0.04,118.62,0,0,0,-99,-9
243.274,54.583,383.53,0.03,284.34,0.03,268.46,0,1622.54,0.03,3555.55,0.02
243.255,54.168,88.56,0.31,54.08,0.32,0,0,0,0,0,0
243.263,54.781,468.04,0.03,435.14,0.03,285.16,0.02,1014.1,0.03,1707.28,0.92
243.243,54.476,56.84,0.69,36.4,0.82,-99,-9,0,0,0,0
243.233,53.998,66.26,0.03,41.8,0.18,49.84,0.06,0,0,0,0
243.23,54.124,257.19,0.98,326.59,0.98,495.58,0.81,668.08,0.91,2495.6,0.98
243.213,53.993,151.27,0.03,125.61,0.03,90.17,0,0,0,0,0
243.224,54.796,14.35,0.74,18.02,0.26,37.52,0.36,0,0,0,0
243.206,54.144,613.24,0.03,456.04,0.03,281.03,0,211.61,0,0,0
243.213,54.48,1248.68,0.03,879.45,0.03,559.99,0.02,453.6,0.04,485.05,0.49
243.199,53.991,59.73,0.03,58.75,0.07,0,0,0,0,416.86,0.04
243.2,54.588,39.74,0.33,41.78,0.1,0,0,0,0,0,0
243.187,54.473,156.5,0.03,118.73,0.19,77.3,0.62,0,0,0,0
243.177,54.161,111.25,0.03,82.59,0.02,53.75,0.06,50.82,0.46,0,0
243.174,54.656,99.72,0.94,90.41,0.92,49.91,0.49,98.11,0.52,1109.99,0.84
243.163,54.148,96.99,0.88,130.05,0.94,151.97,0.23,186.39,0.88,613.25,0.49
243.146,54.488,141.12,0.86,129.63,0.38,117.92,0.48,208.69,0.8,659.25,0.38
243.138,54.15,53.98,0.49,47.46,0.67,0,0,0,0,0,0
243.145,54.555,55.62,0.63,52.15,0.86,60.12,0.22,180.07,0.66,992.2,0.87
243.125,54.09,160.47,0.03,121.76,0.03,120.37,0,830.61,0.04,1118.12,0.2
243.119,53.755,46.04,0.09,44.96,0.07,0,0,0,0,0,0
243.127,54.853,251.37,0.06,194.51,0.12,135.96,0.41,73.71,0.53,0,0
243.128,54.87,199.83,0.03,165.31,0.05,97.53,0,77.55,0,0,0
243.112,54.043,13.1,0.22,20.94,0.14,0,0,44.86,0.48,391.87,0.5
243.111,54.641,13.89,0.84,20.02,0.26,0,0,32.42,0.35,-99,-9
243.105,54.39,69.03,0.49,74.41,0.12,55.43,0.07,71.17,0.02,0,0
243.098,54.061,485.65,0.03,391,0.03,407.96,0.02,2983.39,0.08,13082.01,0.82
243.106,54.863,94,0.68,97.5,0.89,70.26,0.49,70.99,0.51,465.24,0.03
243.099,54.561,114.42,0.36,92.49,0.33,77.54,0,70.51,0.29,798.8,0.77
